"codelangue","codeappelobjet","traductiondictionnaire"
"4","171","Aspiración de compresores allí donde el aire es más fresco"
"4","171","<P>Por razones termodinámicas, la compresión de aire caliente necesita más energía que la compresión de aire frío. El rendimiento de los compresores es mejor cuando la temperatura del aire aspirado es baja.</P>
<P>Es preferible que la planificación de la aspiración de aire al exterior esté situada hacia el norte, a la sombra, donde el aire es más fresco. Es importante asegurar que esta esté lo más lejos de la salida es extracción de aire caliente y húmedo.</P>
<P>Para evitar la congelación de los compresores en período de frío, es necesario prever un by-pass (que puede ser pilotado manualmente) para poder coger el aire interior más caliente cuando el riesgo de congelación de compresores es importante.</P>"
"2","174","Ajustement du degré de séchage en fonction de la température extérieure"
"2","174","Faire varier le point de rosée en fonction de la température extérieure. Par exemple, remonter la température du point de rosée quand la température extérieure est supérieure à 10°C."
"3","174","Adjustment of the degree of drying depending on the outside temperature"
"3","174","Faire varier le point de rosée en fonction de la température extérieure. Par exemple, remonter la température du point de rosée quand la température extérieure est supérieure à 10°C."
"4","174","Ajuste del grado de secado en función de la temperatura exterior"
"4","174","Faire varier le point de rosée en fonction de la température extérieure. Par exemple, remonter la température du point de rosée quand la température extérieure est supérieure à 10°C."
"2","176","Récupération de la chaleur des compresseurs pour production d'eau chaude"
"3","176","Heat recovery on compressors for domestic hot water"
"4","176","Recuperación de calor de compresores para producir agua caliente"
"2","178","Récupération d'énergie sur compresseur pour regénérer le sécheur à absorption"
"2","178","Si le système de régénération du sécheur se fait par apport de chaleur, cet apport peut provenir d'une récupération d'énergie sur le compresseur."
"3","178","Energy recovery on compressor to regenerate the absorption dryer"
"3","178","If the dryer regeneration system is by heat, this contribution can come from energy recovery on the compressor."
"4","178","Recuperación de energía de compresores para regenerar el secador de absorción"
"4","178","<P>Si el sistema de regeneración del secador se hace por aporte de calor, este aporte puede provenir de una recuperación de energía sobre el compresor.</P>"
"2","182","Isolation des canalisations vapeur non isolées"
"2","182","<P>La vapeur est produite dans des chaudières par chauffage de l’eau. Le changement d’état liquide/vapeur permet à la vapeur de stocker une importante quantité d’énergie sous forme de chaleur latente.</P>
<P>La vapeur est ensuite transportée dans un réseau de canalisations jusqu’aux postes d’utilisation. Les pertes de chaleur dues à une isolation inexistante ou en mauvais état de ces canalisations et des vannes est source d’un gaspillage considérable d’énergie.</P>"
"3","182","Insulation on steam pipes uninsulated"
"3","182","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Steam is generated in boilers by heating water. The change of state liquid / vapor steam can store a large amount of energy in the form of latent heat.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The steam is then transported in a pipeline network to the user stations. Heat loss due to a non-existent or poor insulation of the pipes and valves is a significant source of wasted energy.</P>"
"4","182","Aislamiento de canalizaciones de vapor no aisladas"
"4","182","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El vapor es producido en calderas por calefacción del agua. El cambio de estado líquido / vapor permite al vapor almacenar una cantidad importante de energía en forma de calor latente.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El vapor luego es transportado a una red de canalizaciones hasta los puestos de utilización. Las pérdidas de calor debidas al aislamiento inexistente o en mal estado de estas canalizaciones y compuertas es fuente de un despilfarro considerable de energía.</P>"
"2","183","Isolation des canalisations vapeur non utilisées"
"2","183","Isoler les canalisations vapeur non utilisées"
"3","183","Insulation on steam pipes unused"
"3","183","Isoler les canalisations vapeur non utilisées"
"4","183","Aislar las canalizaciones de vapor no utilizadas"
"4","183","Isoler les canalisations vapeur non utilisées"
"2","185","Compteurs pour les débits de vapeur et les débits de condensats"
"2","185","Installer un compteur de vapeur"
"3","185","Meters for flow of steam and condensate flows"
"3","185","Installer un compteur de vapeur"
"4","185","Instalación de contadores para los caudales de vapor y los caudales de condensado"
"4","185","Installer un compteur de vapeur"
"2","186","Dépressurisation du condensat"
"2","186","Dépressuriser le condensat"
"3","186","Depressurization of condensate"
"3","186","Dépressuriser le condensat"
"4","186","Despresurizar el condensado"
"4","186","Dépressuriser le condensat"
"2","191","Programme d'inspection et de réparation des purgeurs"
"2","191","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Les purgeurs sont des sources privilégiés de fuites de vapeur. De fait, il est important de les suivre régulièrement.&nbsp;Tous les purgeurs doivent être&nbsp;répertoriés et localisés sur le site. Dès lors, les purgeurs défaillants peuvent être identifiés.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Le programme d'inspection pourra mettre en évidence différents types de dysfonctionnement : </P>
<P>
<TABLE cellSpacing=0 border=1>
<TBODY>
<TR>
<TD>Dysfonctionnement </TD>
<TD>Description </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Action à mettre en oeuvre </TD></TR>
<TR>
<TD>Soufflage </TD>
<TD>Les fuites du purgeurs sont importantes, à cause de la pression, la vapeur est soufflée.&nbsp;Le purgeur perd un maximum de vapeur </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Le purgeur doit être remplacé le plus rapidement possible. </TD></TR>
<TR>
<TD>Fuite </TD>
<TD>Le purgeurs perd un peu de vapeur </TD>
<TD>Le purgeur peut être réparé ou remplacé par un purgeur plus performant </TD></TR>
<TR>
<TD>Cycle rapide </TD>
<TD>Si le purgeur est thermodynamique, le cycle peut être trop rapide </TD>
<TD>Le purgeur peut être réparé ou remplacé par un purgeur plus performant </TD></TR>
<TR>
<TD>Colmaté </TD>
<TD>Le purgeur est bloqué en position fermé.&nbsp;Les condensats ne peuvent être évacués. </TD>
<TD>Le purgeur doit être remplacé. </TD></TR>
<TR>
<TD>Inondé </TD>
<TD>Le purgeur&nbsp;est trop petit, il ne peut pas traiter la vapeur ou le condensat qui lui arrive. </TD>
<TD>Le purgeur doit être remplacé par un purgeur performant de diamètre adéquat. </TD></TR></TBODY></TABLE></P>
<P>Une fois identifiés, les purgeurs doivent être remplacés. D'un point de vue énergétique, les purgeurs automatiques sont préférables aux purgeurs manuels.</P>"
"3","191","Establish an inspection and repair program traps"
"3","191","<DIV style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Traps are preferred sources of vapor leakage. In fact, it is important to monitor regularly. All traps must be identified and located on the site. Therefore, failed traps can be identified.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The inspection program will highlight different types of failure:</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: ""></P>
<P>
<TABLE style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "" cellSpacing=0 border=1>
<TBODY>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Malfunction </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Description </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Action to implement</TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Blowing</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Leaking traps are important, because of the pressure, the steam is blown. The trap loses a maximum steam</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The trap should be replaced as soon as possible</TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Leak</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The traps loses some steam</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The trap can be repaired or replaced by a more efficient trap</TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Fast cycle</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">If the trap is thermodynamic cycle can be too fast</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The trap can be repaired or replaced by a more efficient trap</TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Clogging</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The drain is blocked in closed position. The condensate can be discharged.</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The trap must be replaced.</TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Flooded</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The trap is too small, it can not process steam or condensate is happening.</TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The trap must be replaced by an efficient trap suitable diameter.</TD></TR></TBODY></TABLE></P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Once identified, the traps should be replaced. From an energy perspective, the steam traps are preferable to manual drains.</P></DIV>"
"4","191","Establecer un programa de inspección y reparación de purgadores"
"4","191","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Los purgadores son unas fuentes privilegiada de fugas de vapor. De hecho, es importante seguirlos regularmente. Todos los purgadores deben ser catalogados y localizados sobre el sitio. Desde entonces, los purgadores con fallos pueden ser identificados. </P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El programa de inspección podrá poner en evidencia diferentes tipos de disfunción:</P>
<P>
<TABLE cellSpacing=0 border=1>
<TBODY>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">disfunción </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Description </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Acción a poner en marcha </TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Soplado&nbsp; </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Las huidas de purgadores son importantes, a causa de la presión, el vapor es soplado. El purgador pierde un máximo de vapor </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador debe ser reemplazado lo más rápidamente posible. </TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Fuga </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Los purgadores pierden un poco de vapor </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador puede ser reparado o reemplazado por un purgador más eficiente </TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Ciclo rápido&nbsp; </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Si el purgador es termodinámico, el ciclo puede ser demasiado rápido </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador puede ser reparado o reemplazado por un purgador más eficiente </TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Tapón </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador está bloqueado en posición cerrada. Los condensadores no pueden ser evacuados. </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador debe ser reemplazado </TD></TR>
<TR>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Inundación </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador es demasiado pequeño, no puede tratar el vapor o el condensador que le llega. </TD>
<TD style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">El purgador debe ser reemplazado por un purgador eficiente de diámetro adecuado. </TD></TR></TBODY></TABLE></P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Una vez identificados, los purgadores deben ser reemplazados. Desde un punto de vista energético, los purgadores automáticos son preferibles a los purgadores manuales.</P>"
"2","192","Remplacement des purgeurs défaillants bloqués en position ouverte ou fermé"
"2","192","Identifier les purgeurs défaillants et les remplacer."
"3","192","Replace failed traps (often blocked in open position)"
"3","192","Identify and replace defective traps."
"4","192","Reemplazar purgadores con taras (a menudo se bloquean en posición abierta)"
"4","192","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Identificar los purgadores que fallan y reemplazarlos</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">&nbsp;</P>"
"2","193","Vérification de la dimension des purgeurs et remplacement si nécessaire"
"2","193","<P>Les vieux purgeurs de vapeur ont sont des sources privilégiés de fuites de vapeur.&nbsp;De même, les purgeurs de diamètre trop grand ou trop petit entrainent des pertes de vapeur ou n'assurent pas leur fonction initiale.</P>
<P>Lorsqu’un purgeur fuit, il laisse passer de la vapeur dans le retour condensat. Cette vapeur est évacuée en panache par l’extraction en toiture provenant de la bâche alimentaire.</P>
<P>Les purgeurs peuvent aussi être bloqués. Dans ce cas, ils laissent passer de l’eau dans les tuyauteries vapeur ce qui a pour effet de diminuer les échanges thermiques dans les échangeurs et de provoquer des fuites dans les tuyauteries.<BR></P>"
"3","193","Replace old steam traps or those who are wrong size or type"
"3","193","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Old steam traps have are privileged sources of vapor leakage. Similarly, traps diameter too large or too small cause loss of steam or do not provide their original function.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">When a trap is leaking, it lets the steam condensate return. This steam is discharged plume by extracting the roof from the feed tank.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Traps can also be blocked. In this case, they let water into the steam pipes which has the effect of reducing the heat exchange in the heat exchangers and cause leaks in the pipes.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: ""></P>"
"4","193","Reemplazo de viejos purgadores de vapor o los que tienen un forma o dimensión no adecuada"
"4","193","<P>Los viejos purgadores de vapor han sido fuentes privilegiadas de fugas de vapor. Así, los purgadores de diámetro demasiado grande o demasiado pequeño conllevan pérdidas de vapor o no aseguran su funcionamiento inicial.</P>
<P>Cuando un purgador tiene una fuga, deja pasar el vapor al retorno del condesado. Este vapor es evacuado por extracción sobre el tejado proveniente del tanque de alimentación.</P>
<P>Los purgadores pueden también estar bloqueados. En este caso, dejan pasar agua en las tuberías de vapor lo que tiene como efecto disminuir los intercambios térmicos en los intercambiadores y provocan fugas en las tuberías.</P>"
"2","194","Vérification de l'état et le dimensionnement de l'isolation et remplacer celle-ci quand nécessaire"
"2","194","Vérifier régulièrement l'état des calorifuges.
Prévoir la réfection des portions de circuits qui sont mal calorifugées."
"3","194","Checking the status and capacity of the insulation and replace it when necessary"
"3","194","Vérifier régulièrement l'état des calorifuges.
Prévoir la réfection des portions de circuits qui sont mal calorifugées."
"4","194","Comprobar el estado y dimensionamiento del aislamiento y reemplazar cuando sea necesario"
"4","194","Vérifier régulièrement l'état des calorifuges.
Prévoir la réfection des portions de circuits qui sont mal calorifugées."
"2","198","Analyse de l'état du réseau vapeur et du réseau des condensats"
"2","198","y a-t-il des panaches de vapeur sur le toit ? C'est de la vapeur perdue provenant de la revaporisation (flash).  Vérifier l'érosion de tuyauterie et de robinetteries, coups de bélier dans l'installation"
"3","198","Analysis of the state of the steam supply and condensate network"
"3","198","y a-t-il des panaches de vapeur sur le toit ? C'est de la vapeur perdue provenant de la revaporisation (flash).  Vérifier l'érosion de tuyauterie et de robinetteries, coups de bélier dans l'installation"
"4","198","Evaluar el estado de red de vapor y de la red de condensado"
"4","198","y a-t-il des panaches de vapeur sur le toit ? C'est de la vapeur perdue provenant de la revaporisation (flash).  Vérifier l'érosion de tuyauterie et de robinetteries, coups de bélier dans l'installation"
"2","200","Prévention et élimination des dépôts de tartre sur les surfaces de transfert de chaleur"
"2","200","Garder si possible une pression réduite et une température réduite restreint les dépôts de tartre. Le dépôt peut être éliminer pendant la maintenance à la fois mécaniquement et par un nettoyage à l'acide. Si le dépôt de tarte se reforme trop rapidement le"
"3","200","Prevention and removal of scale deposits on the surfaces of heat transfer"
"3","200","Garder si possible une pression réduite et une température réduite restreint les dépôts de tartre. Le dépôt peut être éliminer pendant la maintenance à la fois mécaniquement et par un nettoyage à l'acide. Si le dépôt de tarte se reforme trop rapidement le"
"4","200","Prevención y eliminación de depósitos de tártaro sobre la superficies de transferencias de calor"
"4","200","Garder si possible une pression réduite et une température réduite restreint les dépôts de tartre. Le dépôt peut être éliminer pendant la maintenance à la fois mécaniquement et par un nettoyage à l'acide. Si le dépôt de tarte se reforme trop rapidement le"
"2","202","Vapeur sèche pour le procédé"
"2","202","Fournir de la vapeur sèche pour le procédé"
"3","202","Dry steam for the process"
"3","202","Fournir de la vapeur sèche pour le procédé"
"4","202","Proveer el vapor seco para los procesos"
"4","202","Fournir de la vapeur sèche pour le procédé"
"2","203","Diminution du débit vapeur quand cela est possible"
"2","203","Diminution du débit vapeur quand cela est possible"
"3","203","Decrease in steam flow when possible"
"3","203","Diminution du débit vapeur quand cela est possible"
"4","203","Disminución del caudal de vapor cuando sea posible"
"4","203","Diminution du débit vapeur quand cela est possible"
"2","209","Optimisation du taux de mise à l'air libre du desaérateur"
"2","209","Optimiser le taux de mise à l'air libre du desaérateur"
"3","209","Rate optimization vent air deaerator"
"3","209","Optimiser le taux de mise à l'air libre du desaérateur"
"4","209","Optimizar la tasa de aire libre del desareador"
"4","209","Optimiser le taux de mise à l'air libre du desaérateur"
"2","210","Augmentation du rendement de l'économiseur"
"2","210","Augmenter la différence de température  aux entrées et sorties de l'économiseur"
"3","210","Increase the performance of the economizer"
"3","210","Augmenter la différence de température  aux entrées et sorties de l'économiseur"
"4","210","Aumento del rendimiento del economizador"
"4","210","Augmenter la différence de température  aux entrées et sorties de l'économiseur"
"2","211","Récupération du condensat"
"2","211","Mettre en place une bâche de condensation (ou bâche alimentaire);  Implique l'installation de ligne de retour condensat."
"3","211","Condensate Recovery"
"3","211","Mettre en place une bâche de condensation (ou bâche alimentaire);  Implique l'installation de ligne de retour condensat."
"4","211","Recuperación del condensado"
"4","211","Mettre en place une bâche de condensation (ou bâche alimentaire);  Implique l'installation de ligne de retour condensat."
"2","212","Récupération de la chaleur du condensat"
"2","212","Récupération de la chaleur du condensat pour préchauffer l'eau d'alimentation des chaudière par exemple."
"3","212","Heat recovery condensate"
"3","212","Récupération de la chaleur du condensat pour préchauffer l'eau d'alimentation des chaudière par exemple."
"4","212","Recuperación de calor del condensado"
"4","212","Récupération de la chaleur du condensat pour préchauffer l'eau d'alimentation des chaudière par exemple."
"2","213","Préchauffage de l'eau d'alimentation par utilisation de la chaleur procédé"
"2","213","par exemple, installation d'un échangeur eau/eau"
"3","213","Preheating the feed by use of the process water heat"
"3","213","par exemple, installation d'un échangeur eau/eau"
"4","213","Precalentar el agua de alimentación por el uso del calor de procesos"
"4","213","par exemple, installation d'un échangeur eau/eau"
"2","214","Economiseur sur les effluents gazeux de chaudière de production de vapeur"
"2","214","<P>Un économiseur est un échangeur de chaleur qui réduit les apports en combustible nécessaires à la chaudière à vapeur en transférant la chaleur provenant des gaz de combustion vers l’eau d’alimentation en entrée.</P>
<P><BR>L’apport d’eau d’alimentation dans l’économiseur devant être continu, l’eau est généralement prélevé de la bâche alimentaire.<BR></P>"
"3","214","Economizer on the flue gas from boiler steam"
"3","214","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">An economizer heat exchanger which reduces the fuel flows required for the steam boiler by transferring heat from the combustion gases to the water supply inlet.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: ""><BR>The provision of water supply in the economizer to be continuous, the water is usually taken from the feed tank.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: ""></P>"
"4","214","Economizador sobre los efluentes gaseosos de una caldera de producción de vapor"
"4","214","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Un economizador es un intercambiador de calor que reduce las aportaciones de combustible necesarias para la caldera a vapor trasladando el calor que proviene de gases de combustión hacia el agua de alimentación en entrada. </P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">La aportación de agua de alimentación en el economizador de ser continuo, el agua es generalmente tomada por la cubierta alimentaria.</P>"
"2","215","Préchauffage de l'eau : utiliser l'eau d'alimentation désaérée pour chauffer le condensat retournant à la chaudière"
"2","215","Mise en place d'un échangeur de chaleur entre l'eau des condensats récupérés et l'eau d'alimentation désaérée. "
"3","215","Warm water : use the power deaerated water to heat the condensate back to the boiler"
"3","215","Mise en place d'un échangeur de chaleur entre l'eau des condensats récupérés et l'eau d'alimentation désaérée. "
"4","215","Precalentar el agua: utilizar el agua de alimentación para calentar el condensado que vuelve a la caldera"
"4","215","Mise en place d'un échangeur de chaleur entre l'eau des condensats récupérés et l'eau d'alimentation désaérée. "
"2","216","Préchauffage de l'eau d'alimentation en condensant la vapeur utilisée pour la revaporisation et en chauffant l'eau alimentant le desaérateur au moyen d'un échangeur"
"2","216","Mise en place d'un échangeur sur les condensats allant au réservoir d'eau d'alimentation. La chaleur peut être apportée en condensant la vapeur utilisée par la revaporisation"
"3","216","Preheating of the supply water in the condensed steam used for the stripping and heating the feed water deaerator through an exchanger"
"3","216","Mise en place d'un échangeur sur les condensats allant au réservoir d'eau d'alimentation. La chaleur peut être apportée en condensant la vapeur utilisée par la revaporisation"
"4","216","Precalentamiento del agua de alimentación condensando el vapor utilizado para la revaporización y calentando el agua que alimenta el desaerador por medio de un intercambiador"
"4","216","Mise en place d'un échangeur sur les condensats allant au réservoir d'eau d'alimentation. La chaleur peut être apportée en condensant la vapeur utilisée par la revaporisation"
"2","217","Réemploi de la vapeur de détente "
"2","217","Réemploi de la vapeur de détente"
"3","217","Re-use of flash steam"
"3","217","Réemploi de la vapeur de détente"
"4","217","Reutilización del vapor de expansión"
"4","217","Réemploi de la vapeur de détente"
"2","219","Turbine de détente pour récupérer le contenu énergétique de gaz sous pression"
"2","219","Turbine de détente pour récupérer le contenu énergétique de gaz sous pression"
"3","219","Expansion turbine to recover the energy content of gas pressure"
"3","219","Turbine de détente pour récupérer le contenu énergétique de gaz sous pression"
"4","219","Turbina de expansión para recuperar el contenido energético del gas bajo presión"
"4","219","Turbine de détente pour récupérer le contenu énergétique de gaz sous pression"
"2","221","Adaptation de l'éclairage artificiel au besoin réel de chaque zone"
